timestamp,model,max_tokens,max_rounds,rounds,negotiation_time
2024-02-10_14:29:07,gpt-4-vision-preview,400,8,9,117.90349960399999
2024-02-10_14:29:07,gpt-4-vision-preview,400,8,1,0.14064894099999492
2024-02-10_14:29:07,gpt-4-vision-preview,400,8,0,14.168021594000038
2024-02-10_14:29:07,gpt-4-vision-preview,400,8,0,0.14371943300000112
2024-02-10_14:29:07,gpt-4-vision-preview,400,8,0,26.17656673700003
2024-02-10_14:41:22,gpt-4-vision-preview,400,8,3,36.661807425000006
2024-02-10_14:41:22,gpt-4-vision-preview,400,8,0,2.1491866720000417
2024-02-10_14:46:38,gpt-4-vision-preview,400,8,5,51.90293682799984
2024-02-10_14:46:38,gpt-4-vision-preview,400,8,0,2.146658484999989
2024-02-10_14:46:38,gpt-4-vision-preview,400,8,0,0.14245192399994266
2024-02-10_14:46:38,gpt-4-vision-preview,400,8,1,0.16061203799995383
2024-02-10_14:46:38,gpt-4-vision-preview,400,8,1,0.15299800399998276
